battlevoice_chr000_100,"Hyde: C'mon out, Insulator!"
battlevoice_chr021_121,Mika: Sounds good! We both speak fluent fist!
battlevoice_chr021_122,Mika: I'm gonna win this one!
battlevoice_chr021_140,Mika: Full speed ahead!
battlevoice_chr021_141,Mika: V for victory!
battlevoice_chr021_142,Mika: That settles that!
battlevoice_chr021_143,Mika: Woohoo! I won!
battlevoice_chr021_144,Mika: All right! Next! Next!
battlevoice_chr021_150,"Mika: I did it, I did it!"
battlevoice_chr021_151,Mika: Ow...
battlevoice_chr021_152,Mika: That hurt...
battlevoice_chr021_153,Mika: Wah ha ha ha ha!
battlevoice_chr021_154,Mika: Huh?
battlevoice_chr021_155,Mika: Urk...
battlevoice_chr021_158,"Mika: Big, biiig wiiiiiin!"
battlevoice_chr021_159,Mika: Oh?
battlevoice_chr021_160,"Mika: Aw, why?"
battlevoice_chr021_164,Mika: No match for me!
battlevoice_chr021_165,Mika: Huh?
battlevoice_chr021_166,Mika: Gyaaah!
battlevoice_chr021_170,"Mika: Aw, yeah! I beat Orie!"
battlevoice_chr021_171,Mika: Huh?
battlevoice_chr021_172,Mika: Talk about cruel and unusual punishment...
battlevoice_chr021_174,Mika: I'm not gonna lose to the rear guard!
battlevoice_chr021_176,Mika: Curses come home to roost...
battlevoice_chr022_100,Kaguya: I'll rout you magnificently!
battlevoice_chr022_101,Kaguya: Here I come! Get ready for a challenge!
battlevoice_chr022_102,Kaguya: You know what? I'll take you head-on!
battlevoice_chr022_103,"Kaguya: Oh, dear! Do you need punishment?"
battlevoice_chr022_104,Kaguya: Let's see what you have to offer.
battlevoice_chr022_105,Kaguya: The job will only get dirtier from here on out. Just leave it to me.
battlevoice_chr022_106,Kaguya: I'll wipe THAT smile off YOUR face.
battlevoice_chr022_107,Kaguya: ...Stop copying me.
battlevoice_chr022_108,Kaguya: Don't worry about it! I don't mind!
battlevoice_chr022_109,"Kaguya: Oh? Don't jinx yourself, or you'll regret it."
battlevoice_chr022_110,Kaguya: Do you have any final words?
battlevoice_chr022_130,Kaguya: An excellent showing.
battlevoice_chr022_131,Kaguya: There. Consider yourself punished!
battlevoice_chr022_132,Kaguya: How did my bullets taste?
battlevoice_chr022_140,"Kaguya: Oh, dear. Had enough already?"
battlevoice_chr022_141,"Kaguya: Okay, that's enough. Now sit right there and think about what you did."
battlevoice_chr022_142,Kaguya: You'll catch a cold if you fall asleep down there!
battlevoice_chr022_143,Kaguya: Hmm... Your mischief went a little too far.
battlevoice_chr022_144,Kaguya: Phew! That was dangerous.
battlevoice_chr022_145,"Kaguya: Oh, dear. I may have overdone it a bit..."
battlevoice_chr022_146,Kaguya: Hmm... I don't think I can leave Orie to you just yet.
battlevoice_chr023_100,Kuon: I shall pluck the fruit of your life.
battlevoice_chr023_101,"Kuon: Let us begin. The final Night, that is."
battlevoice_chr023_102,Kuon: Learn firsthand the meaning of my power.
battlevoice_chr023_103,"Kuon: As you wish, I'll face you with my full strength."
battlevoice_chr023_108,Kuon: As have I. And now all the players are assembled.
battlevoice_chr023_110,Kuon: ...An eternal tale needs no curtain call.
battlevoice_chr023_112,"Kuon: Ah... Sorry to keep you waiting for so long, my friend."
battlevoice_chr023_114,"Kuon: Oh, you're a scary one. But I'd rather you didn't make light of me."
battlevoice_chr023_117,Kuon: Do you really think you can?
battlevoice_chr023_119,Kuon: How many times must we repeat this?
battlevoice_chr023_121,Kuon: Are you sure you've got enough stomach for it?
battlevoice_chr023_124,"Kuon: You did me quite a service back then, heavenly messenger."
battlevoice_chr023_126,"Kuon: Stagnation is death. To live is to change, is it not?"
battlevoice_chr023_128,"Kuon: If you seek eternity, get accustomed to waiting."
battlevoice_chr023_130,Kuon: Of course. I accept it all.
battlevoice_chr023_132,Kuon: None. I have no need for your concern.
battlevoice_chr023_135,Kuon: Bold of you to step into this realm with a mere human body.
battlevoice_chr023_137,Kuon: I'll endeavor to entertain you.
battlevoice_chr023_160,"Kuon: You haven't given up yet, have you?"
battlevoice_chr023_161,Kuon: You're a bit beneath my expectations.
battlevoice_chr023_162,Kuon: Good grief. I overestimated you.
battlevoice_chr023_163,Kuon: I'd hoped you would show me more of your power.
battlevoice_chr023_171,Kuon: I shall surpass you and forge ahead.
battlevoice_chr023_172,"Kuon: Your skills are impressive. However, they're not impressive enough to touch mine."
battlevoice_chr023_173,"Kuon: Ah, I'm brimming with power..."
battlevoice_chr023_174,Kuon: Soon everything will end...
battlevoice_chr023_177,Kuon: I'm surprised. I didn't think you'd manage to push me this far.
battlevoice_chr023_181,Kuon: Do you understand the overwhelming difference in our power?
battlevoice_chr023_186,"Kuon: Now, then. Return your power to me."
battlevoice_chr023_188,"Kuon: At last, the time has come for this power to become whole."
battlevoice_chr024_100,Phonon: Did you seriously think you'd slip by me?
battlevoice_chr024_101,Phonon: You're up against the great Phonon. Prepare yourself.
battlevoice_chr024_102,"Phonon: ...Sheesh, you're annoying."
battlevoice_chr024_103,"Phonon: C'mon, Muni. Let's go."
battlevoice_chr024_105,Phonon: I... I'll make a flower of blood bloom!
battlevoice_chr024_106,Phonon: This is a real pain... but I'm out of options.
battlevoice_chr024_111,"Phonon: Watch what you say, will you...?"
battlevoice_chr024_113,"Phonon: Ugh, talk about sweaty. Just don't cry when you lose."
battlevoice_chr024_131,"Phonon: You can still keep going, right?"
battlevoice_chr024_132,"Phonon: You're not a very big deal, huh?"
battlevoice_chr024_133,Phonon: Okay! Feeling good!
battlevoice_chr024_138,Phonon: I'll give you a few more welts to remember me by...
battlevoice_chr024_140,Phonon: Hmph. Small fry.
battlevoice_chr024_141,Phonon: Don't you forget my name!
battlevoice_chr024_142,Phonon: You're all show.
battlevoice_chr024_145,Phonon: Ha ha! That was close.
battlevoice_chr024_149,Phonon: Thanks for wimping out on me.
battlevoice_chr024_154,"Phonon: Maybe I should finish you off, just in case..."
battlevoice_chr024_156,Phonon: Yeah! Did you see my skills?!
battlevoice_chr027_100,"Hyde: C'mon out, Insulator!"
battlevoice_chr027_101,Hyde: If you're gonna get in my way... I'll just mop you up!
battlevoice_chr027_102,Hyde: ...My power'll finish the job!
battlevoice_chr027_103,Hyde: Lemme show you... my power!
battlevoice_chr027_108,"Hyde: I'm not gonna be the same old Hyde forever, y'know."
battlevoice_chr027_111,Hyde: Sure have. And I've got you to thank for it.
battlevoice_chr027_113,Hyde: H-Hey! Don't say stuff that people might get twisted!
battlevoice_chr027_115,"Hyde: Welp, I guess we gotta settle things, anyway."
battlevoice_chr027_118,Hyde: Yet another bastard who never learns...
battlevoice_chr027_121,Hyde: What can I say? I'm a rebel. Nothing personal.
battlevoice_chr027_124,"Hyde: All right, time to drop the curtain!"
battlevoice_chr027_127,"Hyde: Tch. Can't believe I'm stuck with you, apparently."
battlevoice_chr027_130,"Hyde: ...Can't you just play nice and back down, already?"
battlevoice_chr027_133,Hyde: I didn't wanna fight you.
battlevoice_chr027_136,Hyde: You just might be the hardest one to deal with of all...
battlevoice_chr027_138,Hyde: Yeesh. Y'know what the scariest thing about you is? You almost look human.
battlevoice_chr027_151,Hyde: The wind's... pretty rough...
battlevoice_chr027_152,"Hyde: What...? All show and no substance, huh?"
battlevoice_chr027_155,Hyde: Just take a nap there.
battlevoice_chr027_156,Hyde: I guess this means I've grown.
battlevoice_chr027_157,Hyde: This is... my power...
battlevoice_chr027_160,Hyde: Th-That was a close one...
battlevoice_chr027_164,Hyde: Y'know... That wasn't as big a deal as I thought.
battlevoice_chr027_169,Hyde: See how I've grown? Leave the rest to me.
battlevoice_chr027_171,"Hyde: Sorry, Harada! I'll make it up to you sometime!"
battlevoice_chr028_100,Edmond Dantes: What do you see when you look at me?!,
battlevoice_chr028_101,Edmond Dantes: There's no end to the hells found in this world!,
battlevoice_chr028_102,Edmond Dantes: I am the Avenger Edmond Dantes. King of the Cavern!
battlevoice_chr028_103,Edmond Dantes: You aren't the one I'm looking for...,
battlevoice_chr028_104,Edmond Dantes: It seems this will get through to you faster than just talking.,
battlevoice_chr028_105,Edmond Dantes: Ahahahahahahahaha!,
battlevoice_chr028_110,Edmond Dantes: A vampire?! Come at me!,
battlevoice_chr028_111,Edmond Dantes: "We're cut from the same cloth, you and I!",
battlevoice_chr028_112,Edmond Dantes: "It's just what it sounds like, a little extra. Don't worry about it.",
battlevoice_chr028_113,Edmond Dantes: This time...you have some self-respect.,
battlevoice_chr028_114,Edmond Dantes: Have you forgotten that rage inside you?,
battlevoice_chr028_115,Edmond Dantes: "A snake is a snake in any world, it seems.",
battlevoice_chr028_116,Edmond Dantes: Same to you. You don't look like a theologian.,
battlevoice_chr028_117,Edmond Dantes: Impossible! There are no love or hate readings...at all?!,
battlevoice_chr028_118,Edmond Dantes: Now...,
battlevoice_chr028_125,Edmond Dantes: You deserve to burn. Now get up.,
battlevoice_chr028_126,Edmond Dantes: Show your true self!,
battlevoice_chr028_127,Edmond Dantes: Time for a smoke break.,
battlevoice_chr028_128,Edmond Dantes: Doesn't anyone have any coffee?,
battlevoice_chr028_130,Edmond Dantes: Pathetic. Collapsing won't earn you mercy.,
battlevoice_chr028_131,Edmond Dantes: I won't pity you. Wither away and die.,
battlevoice_chr028_132,Edmond Dantes: "Hmph. I get to relax a little now, at least.",
battlevoice_chr028_133,Edmond Dantes: Sleep...must be nice.,
battlevoice_chr028_134,Edmond Dantes: You've done it now. I can see that same old hell again.,
battlevoice_chr028_135,Edmond Dantes: Ha... Haha... Hahahahaha!,
battlevoice_chr028_136,Edmond Dantes: "Wallow in despair, the true hell!",
battlevoice_chr028_137,Edmond Dantes: May my flames of vengeance consume everything!,
